Country_Name,Year,Population,Deaths_All_Types,Deaths_Suicides,HExp_Pctage_Y,MHExp_Pctage_2011,Dep_Num_2015,Suicide_p100,Death_Rank
Japan,2019,123731176,2762186,10,10.74,4.94,4.24,12.24,1
Brazil,2019,210147125,2699602,3,9.59,2.38,5.76,6.41,2
Germany,2019,83092962,1879040,10,11.7,11,5.19,8.27,3
Egypt,2019,98901934,1141160,72,4.74,2.29,3.46,3.41,4
Thailand,2019,65557054,988678,0,3.79,4,4.39,7.95,5
Spain,2019,47105360,837406,2,9.13,5,5.21,5.28,6
Poland,2019,37948140,819418,5,6.45,5.08,5.07,9.3,7
Australia,2019,25364307,337920,1,9.91,7.64,5.94,11.25,8
Uzbekistan,2019,33580390,309138,2318,5.62,2.32,4.23,8.28,9
Netherlands,2019,17461158,303770,0,10.13,10.65,4.69,9.27,10
Greece,2019,10721550,250032,0,7.84,4.43,5.74,3.62,12
Bulgaria,2019,6975760.5,216166,3,7.13,1.4,5.16,6.5,13
Georgia,2019,3720161,93318,0,6.66,2.83,4.96,7.65,14
Kyrgyzstan,2019,6456515,66590,0,4.49,4,4.1,8.28,15
Latvia,2019,1913821.5,54984,0,6.58,5.9,4.86,16.06,16
Armenia,2019,2962482,52370,0,11.34,3.38,4.99,2.66,17
Costa Rica,2019,5058007,48584,0,7.27,2.91,4.7,7.62,18
Slovenia,2019,2055166,41176,392,8.52,8,5.09,13.97,19
Singapore,2019,4026209,40576,0,4.08,4.14,4.57,9.65,20
Iceland,2019,360563,4552,0,8.64,8.69,4.09,11.15,21
